,label,timestamp,duration,max_temp,min_temp,device,location
28,"{""name"": ""cold"", ""parent"": {""name"": ""temperature"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {}}, ""axes"": {""min_temp"": false}}",1635712434.8569999,41430.0,,10.180817701707044,thermo_3,room3
29,"{""name"": ""day"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {""max_temp"": true, ""min_temp"": false}}",1662935389.8569999,86400.0,21.307659670442373,10.080610757282988,,
30,"{""name"": ""day"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {""max_temp"": true, ""min_temp"": false}}",1650147679.8569999,86400.0,17.410526418632898,8.842469238913287,,
31,"{""name"": ""cold"", ""parent"": {""name"": ""temperature"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {}}, ""axes"": {""min_temp"": false}}",1638080974.8569999,3530.0,,15.924788163857594,thermo_4,room4
32,"{""name"": ""cold"", ""parent"": {""name"": ""temperature"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {}}, ""axes"": {""min_temp"": false}}",1638080974.8569999,3530.0,,15.924788163857594,thermo_1,room1
33,"{""name"": ""cold"", ""parent"": {""name"": ""temperature"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {}}, ""axes"": {""min_temp"": false}}",1638080974.8569999,3530.0,,15.924788163857594,thermo_2,room2
34,"{""name"": ""cold"", ""parent"": {""name"": ""temperature"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {}}, ""axes"": {""min_temp"": false}}",1638080974.8569999,3530.0,,15.924788163857594,thermo_3,room3
35,"{""name"": ""day"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {""max_temp"": true, ""min_temp"": false}}",1640647024.8569999,86400.0,19.053418357091637,12.203627655814708,,
36,"{""name"": ""cold"", ""parent"": {""name"": ""temperature"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {}}, ""axes"": {""min_temp"": false}}",1643142894.8569999,20655.0,,11.44579634252471,thermo_2,room2
37,"{""name"": ""day"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {""max_temp"": true, ""min_temp"": false}}",1662071154.8569999,86400.0,17.17884976732752,10.013830447865368,,
38,"{""name"": ""day"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {""max_temp"": true, ""min_temp"": false}}",1650751859.8569999,86400.0,18.793237523923736,13.946213219768367,,
39,"{""name"": ""day"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {""max_temp"": true, ""min_temp"": false}}",1639954804.8569999,86400.0,19.0897463561936,9.123365534071969,,
40,"{""name"": ""day"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {""max_temp"": true, ""min_temp"": false}}",1637278074.8569999,86400.0,20.799866340957184,11.08023985340262,,
41,"{""name"": ""day"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {""max_temp"": true, ""min_temp"": false}}",1637796219.8569999,86400.0,22.0,9.010336779693354,,
42,"{""name"": ""day"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {""max_temp"": true, ""min_temp"": false}}",1628893569.8569999,86400.0,21.25938948961456,9.448922547849456,,
43,"{""name"": ""day"", ""parent"": {""name"": ""event"", ""parent"": null, ""axes"": {}}, ""axes"": {""max_temp"": true, ""min_temp"": false}}",1630880129.8569999,86400.0,24.016547164642358,9.11903764159983,,
